GUEST_ID,姓,名,住所（都道府県など）,メールアドレス,電話番号,年齢,性別（コード値）,使用言語,同行者情報,宿泊回数,顧客セグメント,コミュニケーション設定,興味・関心タグ,特記事項
G00001,Garcia,Linda,Texas,linda.garcia@example.com,1-234-567-8901,71,2,ZH,,1,first_time,digital,"#ショッピング, #グルメ",特になし
G00002,Miller,Michael,London,michael.miller@example.com,1-234-567-8901,59,2,EN,,1,first_time,digital,"#子連れOK, #アート体験, #ショッピング",特になし
G00003,Johnson,John,Texas,john.johnson@example.com,1-234-567-8901,59,2,KO,"[{""name"": ""Johnson James"", ""relationship"": ""partner"", ""age"": 55, ""notes"": ""特になし""}]",1,first_time,analog,"#歴史, #子連れOK",特になし
G00004,Jones,Mary,California,mary.jones@example.com,1-234-567-8901,38,1,KO,"[{""name"": ""Jones Linda"", ""relationship"": ""partner"", ""age"": 37, ""notes"": ""特になし""}]",2,repeater,analog,"#自然が好き, #ショッピング, #子連れOK",特になし
G00005,Jones,David,Texas,david.jones@example.com,1-234-567-8901,22,2,ZH,"[{""name"": ""Jones David"", ""relationship"": ""partner"", ""age"": 17, ""notes"": ""特になし""}]",1,first_time,analog,#歴史,特になし
G00006,Smith,Elizabeth,Shanghai,elizabeth.smith@example.com,1-234-567-8901,34,1,EN,,1,first_time,digital,#歴史,特になし
G00007,Johnson,David,New York,david.johnson@example.com,1-234-567-8901,22,2,KO,,1,first_time,digital,#歴史,特になし
G00008,Smith,David,California,david.smith@example.com,1-234-567-8901,63,2,ZH,,1,first_time,digital,#アート体験,特になし
G00009,Jones,James,Seoul,james.jones@example.com,1-234-567-8901,56,1,EN,,1,first_time,digital,"#ショッピング, #アート体験",特になし
G00010,Williams,Patricia,Shanghai,patricia.williams@example.com,1-234-567-8901,29,1,ZH,,1,first_time,digital,"#ショッピング, #アート体験, #子連れOK",特になし
G00011,Miller,James,Texas,james.miller@example.com,1-234-567-8901,24,2,ZH,"[{""name"": ""Miller Robert"", ""relationship"": ""partner"", ""age"": 23, ""notes"": ""特になし""}]",3,repeater,analog,#ショッピング,特になし
G00012,Smith,Jennifer,Shanghai,jennifer.smith@example.com,1-234-567-8901,62,1,KO,"[{""name"": ""Smith Linda"", ""relationship"": ""partner"", ""age"": 67, ""notes"": ""特になし""}]",1,first_time,digital,"#アート体験, #子連れOK, #グルメ",特になし
G00013,Johnson,James,Beijing,james.johnson@example.com,1-234-567-8901,53,2,EN,"[{""name"": ""Johnson David"", ""relationship"": ""partner"", ""age"": 54, ""notes"": ""特になし""}]",4,repeater,digital,#歴史,特になし
G00014,Jones,James,California,james.jones@example.com,1-234-567-8901,62,2,KO,,1,first_time,analog,"#アート体験, #ショッピング",特になし
G00015,Johnson,Patricia,New York,patricia.johnson@example.com,1-234-567-8901,43,2,KO,"[{""name"": ""Johnson James"", ""relationship"": ""partner"", ""age"": 40, ""notes"": ""特になし""}]",1,first_time,digital,"#自然が好き, #子連れOK",特になし
G00016,Jones,Michael,Seoul,michael.jones@example.com,1-234-567-8901,34,1,KO,"[{""name"": ""Jones Jennifer"", ""relationship"": ""partner"", ""age"": 37, ""notes"": ""特になし""}]",17,vip,analog,"#歴史, #子連れOK, #アート体験",特になし
G00017,Miller,Elizabeth,London,elizabeth.miller@example.com,1-234-567-8901,64,2,KO,,1,first_time,analog,#ショッピング,特になし
G00018,Garcia,Elizabeth,New York,elizabeth.garcia@example.com,1-234-567-8901,33,1,ZH,,1,first_time,digital,"#グルメ, #ショッピング",前回、泡盛のテイスティングを楽しまれた
G00019,Williams,Linda,Seoul,linda.williams@example.com,1-234-567-8901,61,1,EN,,2,repeater,digital,#アート体験,特になし
